timestamp,duration,sample_rate,path
20260226_234918,7.202,16000,data\raw\recordings\mic_monitor_20260226_234918.wav
20260226_234943,4.498,16000,data\raw\recordings\mic_monitor_20260226_234943.wav
20260330_173450,3.978,16000,data\raw\recordings\enroll_degan_annoy_flight_subsection_1_20260330_173450.wav
20260330_173502,3.978,16000,data\raw\recordings\enroll_degan_annoy_flight_subsection_2_20260330_173502.wav
20260330_173510,3.978,16000,data\raw\recordings\enroll_degan_mythology_thirst_roundabout_1_20260330_173510.wav
20260330_173516,3.978,16000,data\raw\recordings\enroll_degan_mythology_thirst_roundabout_2_20260330_173516.wav
20260330_173525,3.978,16000,data\raw\recordings\enroll_degan_scrub_pannier_gel_1_20260330_173525.wav
20260330_173531,3.978,16000,data\raw\recordings\enroll_degan_scrub_pannier_gel_2_20260330_173531.wav
20260330_173710,2.964,16000,data\raw\recordings\verify_degan_scrub_pannier_gel_20260330_173710.wav
20260330_173737,2.964,16000,data\raw\recordings\verify_degan_scrub_pannier_gel_20260330_173737.wav
20260330_214306,2.99,16000,data\raw\recordings\enroll_degan_v2_apple_piano_storm_1_20260330_214306.wav
20260330_214309,2.99,16000,data\raw\recordings\enroll_degan_v2_apple_piano_storm_2_20260330_214309.wav
20260330_214312,2.99,16000,data\raw\recordings\enroll_degan_v2_storm_lantern_river_1_20260330_214312.wav
20260330_214315,2.964,16000,data\raw\recordings\enroll_degan_v2_storm_lantern_river_2_20260330_214315.wav
20260330_214319,2.964,16000,data\raw\recordings\enroll_degan_v2_orange_saturn_river_1_20260330_214319.wav
20260330_214322,2.99,16000,data\raw\recordings\enroll_degan_v2_orange_saturn_river_2_20260330_214322.wav
20260330_214333,2.964,16000,data\raw\recordings\unlock_degan_v2_storm_lantern_river_20260330_214333.wav
20260330_214346,2.99,16000,data\raw\recordings\unlock_degan_v2_apple_piano_storm_20260330_214346.wav
20260330_214354,2.99,16000,data\raw\recordings\unlock_degan_v2_annoy_flight_subsection_20260330_214354.wav
20260330_214402,2.99,16000,data\raw\recordings\unlock_degan_v2_annoy_flight_subsection_20260330_214402.wav
20260330_214412,2.99,16000,data\raw\recordings\unlock_degan_v2_mythology_thirst_roundabout_20260330_214412.wav
20260330_214419,2.99,16000,data\raw\recordings\unlock_degan_v2_mythology_thirst_roundabout_20260330_214419.wav
20260330_214424,2.99,16000,data\raw\recordings\enroll_degan_v2_saturn_candle_apple_1_20260330_214424.wav
20260330_214427,2.99,16000,data\raw\recordings\enroll_degan_v2_saturn_candle_apple_2_20260330_214427.wav
20260330_214430,2.964,16000,data\raw\recordings\enroll_degan_v2_saturn_storm_velvet_1_20260330_214430.wav
20260330_214433,2.99,16000,data\raw\recordings\enroll_degan_v2_saturn_storm_velvet_2_20260330_214433.wav
20260330_214436,2.964,16000,data\raw\recordings\enroll_degan_v2_forest_storm_window_1_20260330_214436.wav
20260330_214440,2.964,16000,data\raw\recordings\enroll_degan_v2_forest_storm_window_2_20260330_214440.wav
20260330_214455,2.99,16000,data\raw\recordings\unlock_degan_v2_storm_lantern_river_20260330_214455.wav
20260330_214500,2.99,16000,data\raw\recordings\unlock_degan_v2_annoy_flight_subsection_20260330_214500.wav
20260330_214505,2.964,16000,data\raw\recordings\unlock_degan_v2_scrub_pannier_gel_20260330_214505.wav
